2025-05-21 14:45:29 - WARNING: {'<pad>': 0, '<suc>': 1, 'monomer': 2, 'organic': 3, 'inorganic': 4, 'condition': 5, 'polymer_family': 6, 'syn_method': 7, 'prop_name': 8, 'prop_value': 9, 'ref_exp': 10, 'char_method': 11, 'polymer': 12, 'material_amount': 13, 'composite': 14, 'other_material': 15}
2025-05-21 14:45:29 - INFO: Building Model
2025-05-21 14:45:29 - WARNING: 2025-05-21 14:45:29 - INFO: Building Model
2025-05-21 14:45:30 - WARNING: uploads/s13233-025-00416-4.pdf
2025-05-21 14:45:30 - WARNING: start parsing pdf
2025-05-21 14:45:31 - WARNING: CustomVisionEncoderDecoderModel init
2025-05-21 14:45:31 - WARNING: VariableUnimerNetModel init
2025-05-21 14:45:32 - WARNING: VariableUnimerNetPatchEmbeddings init
2025-05-21 14:45:33 - WARNING: VariableUnimerNetModel init
2025-05-21 14:45:34 - WARNING: VariableUnimerNetPatchEmbeddings init
2025-05-21 14:45:34 - WARNING: CustomMBartForCausalLM init
2025-05-21 14:45:36 - WARNING: CustomMBartDecoder init
2025-05-21 14:45:37 - INFO: load checkpoint from /home/antrieu/.cache/huggingface/hub/models--opendatalab--PDF-Extract-Kit-1.0/snapshots/60416a2cabad3f7b7284b43ce37a99864484fba2/models/MFR/unimernet_small_2501/pytorch_model.pth
2025-05-21 14:45:37 - WARNING: 2025-05-21 14:45:37 - INFO: load checkpoint from /home/antrieu/.cache/huggingface/hub/models--opendatalab--PDF-Extract-Kit-1.0/snapshots/60416a2cabad3f7b7284b43ce37a99864484fba2/models/MFR/unimernet_small_2501/pytorch_model.pth
2025-05-21 14:45:37 - INFO: Loaded pretrained model '/home/antrieu/.cache/huggingface/hub/models--opendatalab--PDF-Extract-Kit-1.0/snapshots/60416a2cabad3f7b7284b43ce37a99864484fba2/models/MFR/unimernet_small_2501/pytorch_model.pth'.
2025-05-21 14:45:37 - WARNING: 2025-05-21 14:45:37 - INFO: Loaded pretrained model '/home/antrieu/.cache/huggingface/hub/models--opendatalab--PDF-Extract-Kit-1.0/snapshots/60416a2cabad3f7b7284b43ce37a99864484fba2/models/MFR/unimernet_small_2501/pytorch_model.pth'.
2025-05-21 14:45:37 - DEBUG: /home/antrieu/miniconda3/envs/mineru/lib/python3.10/site-packages/rapid_table/models/slanet-plus.onnx already exists
2025-05-21 14:45:37 - WARNING: 2025-05-21 14:45:37 - DEBUG: /home/antrieu/miniconda3/envs/mineru/lib/python3.10/site-packages/rapid_table/models/slanet-plus.onnx already exists
2025-05-21 14:45:58 - WARNING: index: 0 , type: title
2025-05-21 14:45:58 - WARNING: index: 1 , type: text
2025-05-21 14:45:58 - WARNING: index: 2 , type: index
2025-05-21 14:45:58 - WARNING: index: 3 , type: title
2025-05-21 14:45:58 - WARNING: index: 4 , type: text
2025-05-21 14:45:58 - WARNING: index: 5 , type: title
2025-05-21 14:45:58 - WARNING: index: 6 , type: text
2025-05-21 14:45:58 - WARNING: index: 7 , type: image_body
2025-05-21 14:45:58 - WARNING: index: 8 , type: text
2025-05-21 14:45:58 - WARNING: index: 9 , type: title
2025-05-21 14:45:58 - WARNING: index: 10 , type: text
2025-05-21 14:45:58 - WARNING: index: 11 , type: text
2025-05-21 14:45:58 - WARNING: index: 12 , type: text
2025-05-21 14:45:58 - WARNING: index: 13 , type: text
2025-05-21 14:45:58 - WARNING: index: 14 , type: text
2025-05-21 14:45:58 - WARNING: index: 15 , type: title
2025-05-21 14:45:58 - WARNING: index: 16 , type: title
2025-05-21 14:45:58 - WARNING: index: 17 , type: text
2025-05-21 14:45:58 - WARNING: index: 18 , type: text
2025-05-21 14:45:58 - WARNING: index: 19 , type: title
2025-05-21 14:45:58 - WARNING: index: 20 , type: text
2025-05-21 14:45:58 - WARNING: index: 21 , type: title
2025-05-21 14:45:58 - WARNING: index: 22 , type: text
2025-05-21 14:45:58 - WARNING: index: 23 , type: title
2025-05-21 14:45:58 - WARNING: index: 24 , type: text
2025-05-21 14:45:58 - WARNING: index: 25 , type: text
2025-05-21 14:45:58 - WARNING: index: 26 , type: title
2025-05-21 14:45:58 - WARNING: index: 27 , type: title
2025-05-21 14:45:58 - WARNING: index: 28 , type: text
2025-05-21 14:45:58 - WARNING: index: 29 , type: text
2025-05-21 14:45:58 - WARNING: index: 30 , type: image_body
2025-05-21 14:45:58 - WARNING: index: 31 , type: image_caption
2025-05-21 14:45:58 - WARNING: index: 32 , type: title
2025-05-21 14:45:58 - WARNING: index: 33 , type: text
2025-05-21 14:45:58 - WARNING: index: 34 , type: text
2025-05-21 14:45:58 - WARNING: index: 35 , type: image_caption
2025-05-21 14:45:58 - WARNING: index: 36 , type: image_body
2025-05-21 14:45:58 - WARNING: index: 37 , type: text
2025-05-21 14:45:58 - WARNING: index: 38 , type: text
2025-05-21 14:45:58 - WARNING: index: 39 , type: title
2025-05-21 14:45:58 - WARNING: index: 40 , type: text
2025-05-21 14:45:58 - WARNING: index: 41 , type: text
2025-05-21 14:45:58 - WARNING: index: 42 , type: text
2025-05-21 14:45:58 - WARNING: index: 43 , type: text
2025-05-21 14:45:58 - WARNING: index: 44 , type: image_body
